======================================================================
  FILMN9 — DCF 밸류에이션용 애널리스트 리포트 다운로드 체크리스트
  전체 634개  (코어 443 / 확장 191)
  사용법: PDF 받으면 [ ] -> [O] 로 표시
======================================================================

■ 코어 (시총 5천억+) — 443개  ★최우선
----------------------------------------------------------------------
[ ] 221. 쎄트렉아이  (099320)  | KOSDAQ | 시총 14,642억
[ ] 222. 브이엠  (089970)  | KOSDAQ | 시총 14,591억
[ ] 223. 오름테라퓨틱  (475830)  | KOSDAQ | 시총 14,586억
[ ] 224. 더블유게임즈  (192080)  | KOSPI | 시총 14,483억
[ ] 225. LS머트리얼즈  (417200)  | KOSDAQ | 시총 14,444억
[ ] 226. SNT다이내믹스  (003570)  | KOSPI | 시총 14,365억
[ ] 227. 제이에스링크  (127120)  | KOSDAQ | 시총 14,350억
[ ] 228. 인텔리안테크  (189300)  | KOSDAQ | 시총 14,292억
[ ] 229. 케이엠더블유  (032500)  | KOSDAQ | 시총 14,071억
[ ] 230. 에스앤에스텍  (101490)  | KOSDAQ | 시총 14,038억
[ ] 231. SFA반도체  (036540)  | KOSDAQ | 시총 13,683억
[ ] 232. SK이터닉스  (475150)  | KOSPI | 시총 13,661억
[ ] 233. 롯데정밀화학  (004000)  | KOSPI | 시총 13,597억
[ ] 234. IPARK현대산업개발  (294870)  | KOSPI | 시총 13,544억
[ ] 235. 금호타이어  (073240)  | KOSPI | 시총 13,501억
[ ] 236. 오뚜기  (007310)  | KOSPI | 시총 13,386억
[ ] 237. 삼표시멘트  (038500)  | KOSDAQ | 시총 13,338억
[ ] 238. 와이씨  (232140)  | KOSDAQ | 시총 13,267억
[ ] 239. 에이치브이엠  (295310)  | KOSDAQ | 시총 13,206억
[ ] 240. 세미파이브  (490470)  | KOSDAQ | 시총 13,090억
[ ] 241. 파라다이스  (034230)  | KOSPI | 시총 13,061억
[ ] 242. 리브스메드  (491000)  | KOSDAQ | 시총 12,977억
[ ] 243. HK이노엔  (195940)  | KOSDAQ GLOBAL | 시총 12,748억
[ ] 244. 하나머티리얼즈  (166090)  | KOSDAQ GLOBAL | 시총 12,658억
[ ] 245. 차바이오텍  (085660)  | KOSDAQ | 시총 12,523억
[ ] 246. 휴림로봇  (090710)  | KOSDAQ | 시총 12,471억
[ ] 247. 루닛  (328130)  | KOSDAQ | 시총 12,467억
[ ] 248. 케이씨텍  (281820)  | KOSPI | 시총 12,394억
[ ] 249. 후성  (093370)  | KOSPI | 시총 12,302억
[ ] 250. 제이앤티씨  (204270)  | KOSDAQ | 시총 12,235억
[ ] 251. 신성델타테크  (065350)  | KOSDAQ | 시총 12,203억
[ ] 252. KB발해인프라  (415640)  | KOSPI | 시총 12,132억
[ ] 253. 레이크머티리얼즈  (281740)  | KOSDAQ | 시총 12,088억
[ ] 254. 씨어스  (458870)  | KOSDAQ | 시총 12,084억
[ ] 255. 코스모로보틱스  (439960)  | KOSDAQ | 시총 11,912억
[ ] 256. DL  (000210)  | KOSPI | 시총 11,379억
[ ] 257. 롯데렌탈  (089860)  | KOSPI | 시총 11,347억
[ ] 258. 하이트진로  (000080)  | KOSPI | 시총 11,235억
[ ] 259. 클로봇  (466100)  | KOSDAQ | 시총 11,202억
[ ] 260. 현대바이오  (048410)  | KOSDAQ | 시총 11,166억
